Genotype,Yield - 2021 LA1,Plant Height - 2021 LA1,Yield - 2021 LA2,Plant Height - 2021 LA2,Yield - 2022 LA1,Plant Height - 2022 LA1,Yield - 2022 LA2,Plant Height - 2022 LA2,Yield - 2021 AR,Plant Height - 2021 AR,Yield - 2022 AR,Plant Height - 2022 AR,Mean Yield - Across LA & AR,Mean Plant Height - Across LA & AR
MP8_396,8961.695005,94.53466008,7373.190619,105.158635,9696.736376,97.90835668,7849.27504,94.14950939,9436.232123,104.5701165,9463.626923,110.8613093,8829.301728,101.3141112
MP8_420,7614.581384,95.79373383,9152.291637,101.5595656,8694.741767,98.19707609,7714.438091,89.56528707,9931.164117,95.25537097,8267.841864,94.56183681,8595.013878,95.98952991
MP6_300,9148.931406,94.08382259,8877.689321,100.3102995,9100.571199,94.65035884,8366.081345,90.54013156,10061.50976,95.07481992,9190.072155,100.5664457,9156.648146,96.04043773
MP6_315,9242.457945,86.91019866,8125.565524,90.91626294,,,,,10326.09265,87.04854548,,,9027.714406,87.43512017
MP8_002,9133.606799,100.0703338,8324.025986,106.6359499,,,,,10376.23235,104.085724,,,9074.274668,102.7409865
MP8_113,9327.684612,94.88207383,8843.294337,103.7428408,10068.3355,100.8369384,9202.82766,96.11246636,10113.2024,99.79586532,8450.130785,108.9313775,9366.747216,100.8386452
MP8_259,8911.471799,88.63184077,8832.291398,97.80591282,,,,,,,,,8904.387824,93.35557424
MP8_160,9339.05926,104.913256,8499.872654,107.6517832,7404.019263,94.13059523,6423.182562,84.61111989,9374.236039,94.3785053,8278.278527,106.6841404,8252.285529,98.89848211
MP6_165,8897.426093,107.4620834,6937.243021,97.60444416,,,,,8945.963,98.718524,,,8056.534123,100.4052106
MP6_200,9153.48747,99.86265669,8651.77369,103.901376,,,,,9912.269679,97.72493794,,,9035.500144,99.6398707
MP6_040,8627.197933,99.86937272,7531.055841,103.7249767,,,,,11041.10666,100.1517031,,,8862.771794,100.3922925
MP6_157,9319.38065,94.64214775,8362.706116,94.04965999,9630.973785,93.25027908,9302.87923,91.57668614,,,10064.39855,97.03779995,9510.277453,94.8981232
MP6_116,10385.01972,92.86172275,8365.096716,103.6484702,,,,,10769.42655,95.06167017,,,9636.173625,96.33417248
MP8_131,8771.341149,91.1986242,8147.779219,91.24182912,8401.59212,95.41003355,7918.785952,83.54221516,9556.366405,94.00502627,8791.669275,90.88278106,8630.42077,91.21391091
MP8_153,10736.59443,101.8553736,7787.260038,101.8354062,9684.465963,97.76181334,9219.097635,91.12325467,10865.58854,103.6873872,9291.072638,103.1802836,9629.853549,100.0406136
MP6_273,8227.710449,99.89923359,8772.299558,101.6758788,7804.811647,92.49633619,6842.528447,83.81775441,,,8231.983385,107.0710194,8150.075116,97.75708376
MP6_298,8186.911751,91.51480427,,,7583.110062,92.2685305,7681.998245,85.96263391,,,7650.406202,90.75744759,7949.813902,90.89177588
MP8_192,8015.414403,98.68364543,7498.812574,97.24170656,,,,,9785.310851,94.84125159,,,8229.51972,96.06573355
